


100212  0:01:41  393 Connect	bitnami@localhost on 
		  393 Init DB	bitnami_mediawiki
		  393 Query	SET /* Database::open  */ sql_mode = ''
		  393 Query	BEGIN
		  393 Query	SELECT /* Article::pageData  */  page_id,page_namespace,page_title,page_restrictions,page_counter,page_is_redirect,page_is_new,page_random,page_touched,page_latest,page_len  FROM `page`  WHERE page_namespace = '0' AND page_title = 'Main_Page'  LIMIT 1
		  393 Query	SELECT /* Title::loadRestrictions  */  *  FROM `page_restrictions`  WHERE pr_page = '1'
		  393 Query	SELECT /* User::loadFromDatabase  */  *  FROM `user`  WHERE user_id = '2'  LIMIT 1
		  393 Query	SELECT /* User::loadGroups Carlo */  ug_group  FROM `user_groups`  WHERE ug_user = '2'
		  393 Query	SELECT /* Job::pop Carlo */  *  FROM `job`  WHERE job_id >= 0  ORDER BY job_id LIMIT 1
		  393 Quit	
		  394 Connect	bitnami@localhost on 
		  394 Init DB	bitnami_mediawiki
		  394 Query	SET /* Database::open  */ sql_mode = ''
		  394 Query	SELECT /* MediaWikiBagOStuff::_doquery  */ value,exptime FROM `objectcache` WHERE keyname='bitnami_mediawiki:messages:en'
		  395 Connect	bitnami@localhost on 
		  395 Init DB	bitnami_mediawiki
		  395 Query	SET /* Database::open  */ sql_mode = ''
		  395 Query	BEGIN
		  395 Query	SELECT /* Job::pop  */  *  FROM `job`  WHERE job_id >= 0  ORDER BY job_id LIMIT 1
		  394 Quit	
		  395 Quit	
		  396 Connect	bitnami@localhost on 
		  396 Init DB	bitnami_mediawiki
		  396 Query	SET /* Database::open  */ sql_mode = ''
		  396 Query	BEGIN
		  396 Query	SELECT /* User::loadFromDatabase  */  *  FROM `user`  WHERE user_id = '2'  LIMIT 1
		  396 Query	SELECT /* User::loadGroups Carlo */  ug_group  FROM `user_groups`  WHERE ug_user = '2'
		  397 Connect	bitnami@localhost on 
		  397 Init DB	bitnami_mediawiki
		  397 Query	SET /* Database::open Carlo */ sql_mode = ''
		  397 Query	SELECT /* MediaWikiBagOStuff::_doquery Carlo */ value,exptime FROM `objectcache` WHERE keyname='bitnami_mediawiki:messages:en'
		  396 Query	SELECT /* LinkBatch::doQuery Carlo */ page_id, page_namespace, page_title, page_len, page_is_redirect FROM `page` WHERE (page_namespace=2 AND page_title='Carlo') OR (page_namespace=3 AND page_title='Carlo') OR (page_namespace=1 AND page_title='-')
		  396 Query	SELECT /* Job::pop Carlo */  *  FROM `job`  WHERE job_id >= 0  ORDER BY job_id LIMIT 1
		  396 Quit	
		  397 Quit	
		  398 Connect	bitnami@localhost on 
		  398 Init DB	bitnami_mediawiki
		  398 Query	SET /* Database::open  */ sql_mode = ''
		  398 Query	SELECT /* MediaWikiBagOStuff::_doquery  */ value,exptime FROM `objectcache` WHERE keyname='bitnami_mediawiki:messages:en'
		  399 Connect	bitnami@localhost on 
		  399 Init DB	bitnami_mediawiki
		  399 Query	SET /* Database::open  */ sql_mode = ''
		  399 Query	BEGIN
		  399 Query	SELECT /* Job::pop  */  *  FROM `job`  WHERE job_id >= 0  ORDER BY job_id LIMIT 1
		  398 Quit	
		  399 Quit	
		  400 Connect	bitnami@localhost on 
		  400 Init DB	bitnami_mediawiki
		  400 Query	SET /* Database::open  */ sql_mode = ''
		  400 Query	BEGIN
		  400 Query	SELECT /* User::loadFromDatabase  */  *  FROM `user`  WHERE user_id = '2'  LIMIT 1
		  400 Query	SELECT /* User::loadGroups Carlo */  ug_group  FROM `user_groups`  WHERE ug_user = '2'
		  401 Connect	bitnami@localhost on 
		  401 Init DB	bitnami_mediawiki
		  401 Query	SET /* Database::open Carlo */ sql_mode = ''
		  401 Query	SELECT /* MediaWikiBagOStuff::_doquery Carlo */ value,exptime FROM `objectcache` WHERE keyname='bitnami_mediawiki:messages:en'
		  400 Query	SELECT /* LinkBatch::doQuery Carlo */ page_id, page_namespace, page_title, page_len, page_is_redirect FROM `page` WHERE (page_namespace=2 AND page_title='Carlo') OR (page_namespace=3 AND page_title='Carlo') OR (page_namespace=1 AND page_title='-')
		  400 Query	SELECT /* Job::pop Carlo */  *  FROM `job`  WHERE job_id >= 0  ORDER BY job_id LIMIT 1
		  400 Quit	
		  401 Quit	
100212  0:01:42  402 Connect	bitnami@localhost on 
		  402 Init DB	bitnami_mediawiki
		  402 Query	SET /* Database::open  */ sql_mode = ''
		  402 Query	SELECT /* MediaWikiBagOStuff::_doquery  */ value,exptime FROM `objectcache` WHERE keyname='bitnami_mediawiki:messages:en'
		  403 Connect	bitnami@localhost on 
		  403 Init DB	bitnami_mediawiki
		  403 Query	SET /* Database::open  */ sql_mode = ''
